id,uuid,DCP_date_current_period,OPCP_open_price_current_period,HPCP_high_price_current_period,LPCP_low_price_current_period,CPCP_close_price_current_period,ACPCP_adjusted_close_price_current_period,VTCP_volume_of_transactions_current_period,MPN10P_median_price_next_10_periods,HPN10P_highest_price_next_10_periods,LPN10P_lowest_price_next_10_periods,HPN1P_high_price_next_1_period,LPN1P_low_price_next_1_period
38,,25-02-2000,"1,353.43","1,362.14","1,329.15","1,333.36","1,333","1,06,52,00,000","1,379.19","1,413.46","1,325.07","1,360.82","1,325.07"
39,,28-02-2000,"1,333.36","1,360.82","1,325.07","1,348.05","1,348","1,02,65,00,000","1,381.76","1,413.46","1,346.62","1,369.63","1,348.05"
40,,29-02-2000,"1,348.05","1,369.63","1,348.05","1,366.42","1,366","1,20,43,00,000","1,382.74","1,413.46","1,346.62","1,383.46","1,366.42"
41,,01-03-2000,"1,366.42","1,383.46","1,366.42","1,379.19","1,379","1,27,41,00,000","1,383.62","1,413.46","1,346.62","1,386.56","1,370.35"
42,,02-03-2000,"1,379.19","1,386.56","1,370.35","1,381.76","1,382","1,19,86,00,000","1,391.28","1,458.47","1,346.62","1,410.88","1,381.76"
43,,03-03-2000,"1,381.76","1,410.88","1,381.76","1,409.17","1,409","1,15,03,00,000","1,392.10","1,477.33","1,346.62","1,409.74","1,384.75"
44,,06-03-2000,"1,409.17","1,409.74","1,384.75","1,391.28","1,391","1,02,90,00,000","1,392.15","1,477.33","1,346.62","1,399.21","1,349.99"
45,,07-03-2000,"1,391.28","1,399.21","1,349.99","1,355.62","1,356","1,31,41,00,000","1,396.57","1,493.92","1,346.62","1,373.79","1,346.62"
46,,08-03-2000,"1,355.62","1,373.79","1,346.62","1,366.70","1,367","1,20,30,00,000","1,401.75","1,505.08","1,356.99","1,401.82","1,357.88"
47,,09-03-2000,"1,366.70","1,401.82","1,357.88","1,401.69","1,402","1,12,30,00,000","1,450.90","1,532.50","1,356.99","1,413.46","1,392.07"
48,,10-03-2000,"1,401.69","1,413.46","1,392.07","1,395.07","1,395","1,13,88,00,000","1,458.47","1,552.87","1,356.99","1,398.39","1,364.84"
49,,13-03-2000,"1,395.07","1,398.39","1,364.84","1,383.62","1,384","1,01,61,00,000","1,467.39","1,552.87","1,356.99","1,395.15","1,359.15"
50,,14-03-2000,"1,383.62","1,395.15","1,359.15","1,359.15","1,359","1,09,40,00,000","1,493.13","1,552.87","1,356.99","1,397.99","1,356.99"
51,,15-03-2000,"1,359.15","1,397.99","1,356.99","1,392.14","1,392","1,30,28,00,000","1,499.04","1,552.87","1,392.15","1,458.47","1,392.15"
52,,16-03-2000,"1,392.15","1,458.47","1,392.15","1,458.47","1,458","1,48,23,00,000","1,502.86","1,552.87","1,446.06","1,477.33","1,453.32"
53,,17-03-2000,"1,458.47","1,477.33","1,453.32","1,464.47","1,464","1,29,51,00,000","1,506.08","1,552.87","1,446.06","1,470.30","1,448.49"
54,,20-03-2000,"1,464.47","1,470.30","1,448.49","1,456.63","1,457","92,08,00,000","1,507.14","1,552.87","1,446.06","1,493.92","1,446.06"
55,,21-03-2000,"1,456.63","1,493.92","1,446.06","1,493.87","1,494","1,06,59,00,000","1,507.46","1,552.87","1,416.41","1,505.08","1,487.33"
56,,22-03-2000,"1,493.87","1,505.08","1,487.33","1,500.64","1,501","1,07,50,00,000","1,507.46","1,552.87","1,416.41","1,532.50","1,492.39"
57,,23-03-2000,"1,500.64","1,532.50","1,492.39","1,527.35","1,527","1,07,83,00,000","1,506.82","1,552.87","1,416.41","1,552.87","1,516.83"
58,,24-03-2000,"1,527.35","1,552.87","1,516.83","1,527.46","1,527","1,05,22,00,000","1,505.97","1,534.63","1,416.41","1,534.63","1,518.46"
59,,27-03-2000,"1,527.46","1,534.63","1,518.46","1,523.86","1,524","90,10,00,000","1,503.90","1,527.36","1,416.41","1,527.36","1,507.09"
60,,28-03-2000,"1,523.86","1,527.36","1,507.09","1,507.73","1,508","95,91,00,000","1,501.34","1,527.19","1,416.41","1,521.45","1,497.45"
61,,29-03-2000,"1,507.73","1,521.45","1,497.45","1,508.52","1,509","1,06,19,00,000","1,500.59","1,527.19","1,416.41","1,517.38","1,474.63"
62,,30-03-2000,"1,508.52","1,517.38","1,474.63","1,487.92","1,488","1,19,34,00,000","1,499.13","1,527.19","1,416.41","1,519.81","1,484.38"
63,,31-03-2000,"1,487.92","1,519.81","1,484.38","1,498.58","1,499","1,22,74,00,000","1,497.77","1,527.19","1,339.40","1,507.19","1,486.96"
64,,03-04-2000,"1,498.58","1,507.19","1,486.96","1,505.97","1,506","1,02,17,00,000","1,489.52","1,527.19","1,339.40","1,526.45","1,416.41"
65,,04-04-2000,"1,505.98","1,526.45","1,416.41","1,494.73","1,495","1,51,54,60,000","1,487.08","1,527.19","1,339.40","1,506.55","1,478.05"
66,,05-04-2000,"1,494.73","1,506.55","1,478.05","1,487.37","1,487","1,11,03,00,000","1,467.17","1,527.19","1,339.40","1,511.76","1,487.37"
67,,06-04-2000,"1,487.37","1,511.76","1,487.37","1,501.34","1,501","1,00,80,00,000","1,441.61","1,527.19","1,339.40","1,518.68","1,501.34"
68,,07-04-2000,"1,501.34","1,518.68","1,501.34","1,516.35","1,516","89,16,00,000","1,439.92","1,527.19","1,339.40","1,527.19","1,503.35"
69,,10-04-2000,"1,516.35","1,527.19","1,503.35","1,504.46","1,504","85,37,00,000","1,435.37","1,512.80","1,339.40","1,512.80","1,486.78"
70,,11-04-2000,"1,504.46","1,512.80","1,486.78","1,500.59","1,501","97,14,00,000","1,435.37","1,509.08","1,339.40","1,509.08","1,466.15"
71,,12-04-2000,"1,500.59","1,509.08","1,466.15","1,467.17","1,467","1,17,59,00,000","1,435.03","1,482.94","1,339.40","1,477.52","1,439.34"
72,,13-04-2000,"1,467.17","1,477.52","1,439.34","1,440.51","1,441","1,03,20,00,000","1,435.03","1,482.94","1,339.40","1,440.51","1,339.40"
73,,14-04-2000,"1,440.51","1,440.51","1,339.40","1,356.56","1,357","1,27,97,00,000","1,441.61","1,482.94","1,346.50","1,401.53","1,346.50"
74,,17-04-2000,"1,356.56","1,401.53","1,346.50","1,401.44","1,401","1,20,47,00,000","1,447.92","1,482.94","1,397.81","1,441.61","1,397.81"
75,,18-04-2000,"1,401.44","1,441.61","1,397.81","1,441.61","1,442","1,10,94,00,000","1,447.92","1,482.94","1,398.36","1,447.69","1,424.26"
76,,19-04-2000,"1,441.61","1,447.69","1,424.26","1,427.47","1,427","1,00,14,00,000","1,447.22","1,482.94","1,398.36","1,435.49","1,422.08"
77,,20-04-2000,"1,427.47","1,435.49","1,422.08","1,434.54","1,435","89,62,00,000","1,447.22","1,482.94","1,398.36","1,434.54","1,407.13"
78,,24-04-2000,"1,434.54","1,434.54","1,407.13","1,429.86","1,430","86,87,00,000","1,447.22","1,482.94","1,398.36","1,477.67","1,429.86"
79,,25-04-2000,"1,429.86","1,477.67","1,429.86","1,477.44","1,477","1,07,11,00,000","1,445.76","1,482.94","1,398.36","1,482.94","1,456.98"
80,,26-04-2000,"1,477.44","1,482.94","1,456.98","1,460.99","1,461","99,96,00,000","1,432.63","1,481.51","1,375.14","1,469.21","1,434.81"
81,,27-04-2000,"1,460.99","1,469.21","1,434.81","1,464.92","1,465","1,11,10,00,000","1,424.17","1,481.51","1,375.14","1,473.62","1,448.15"
82,,28-04-2000,"1,464.92","1,473.62","1,448.15","1,452.43","1,452","98,46,00,000","1,418.97","1,481.51","1,375.14","1,481.51","1,452.43"
83,,01-05-2000,"1,452.43","1,481.51","1,452.43","1,468.25","1,468","96,63,00,000","1,417.08","1,468.25","1,375.14","1,468.25","1,445.22"
84,,02-05-2000,"1,468.25","1,468.25","1,445.22","1,446.29","1,446","1,01,15,00,000","1,417.08","1,470.40","1,375.14","1,446.29","1,398.36"
85,,03-05-2000,"1,446.29","1,446.29","1,398.36","1,415.10","1,415","99,16,00,000","1,420.89","1,470.40","1,375.14","1,420.99","1,404.94"
86,,04-05-2000,"1,415.10","1,420.99","1,404.94","1,409.57","1,410","92,58,00,000","1,425.40","1,470.40","1,375.14","1,436.03","1,405.08"
87,,05-05-2000,"1,409.57","1,436.03","1,405.08","1,432.63","1,433","80,55,00,000","1,425.40","1,470.40","1,375.14","1,432.63","1,417.05"
88,,08-05-2000,"1,432.63","1,432.63","1,417.05","1,424.17","1,424","78,76,00,000","1,420.87","1,470.40","1,368.73","1,430.28","1,401.85"
